iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 587, 18, 13, 2382, 0.9783333333333334, 0.9702479338842975, 0.9925, 0.9708333333333334, 0.9896666666666667, 0.010333333333333333, 0.9742738589211618
0, Under80, 0, 10, 8, 4, 138, 0.7142857142857143, 0.5555555555555556, 0.9452054794520548, 0.659491193737769, 0.925, 0.075, 0.6250000000000001
0, Over80, 0, 577, 10, 9, 2244, 0.984641638225256, 0.9829642248722317, 0.9955634427684117, 0.9802050809936675, 0.9933098591549295, 0.006690140845070422, 0.9838022165387894
1, All, 160, 586, 18, 14, 2382, 0.9766666666666667, 0.9701986754966887, 0.9925, 0.9691666666666667, 0.9893333333333333, 0.010666666666666666, 0.9734219269102989
1, Under80, 160, 12, 5, 10, 127, 0.5454545454545454, 0.7058823529411765, 0.9621212121212122, 0.5075757575757576, 0.9025974025974026, 0.09740259740259741, 0.6153846153846153
1, Over80, 160, 574, 13, 4, 2255, 0.9930795847750865, 0.9778534923339012, 0.9942680776014109, 0.9873476623764974, 0.9940267041461701, 0.0059732958538299364, 0.9854077253218884
2, All, 154, 582, 16, 18, 2384, 0.97, 0.9732441471571907, 0.9933333333333333, 0.9633333333333334, 0.9886666666666667, 0.011333333333333334, 0.9716193656093489
2, Under80, 154, 9, 7, 13, 162, 0.4090909090909091, 0.5625, 0.9585798816568047, 0.3676707907477139, 0.8952879581151832, 0.10471204188481675, 0.47368421052631576
2, Over80, 154, 573, 9, 5, 2222, 0.9913494809688581, 0.9845360824742269, 0.9959659345584939, 0.987315415527352, 0.9950160199359203, 0.004983980064079744, 0.9879310344827587
3, All, 191, 587, 30, 13, 2370, 0.9783333333333334, 0.9513776337115073, 0.9875, 0.9658333333333333, 0.9856666666666667, 0.014333333333333333, 0.9646672144617913
3, Under80, 191, 8, 12, 6, 192, 0.5714285714285714, 0.4, 0.9411764705882353, 0.5126050420168067, 0.9174311926605505, 0.08256880733944955, 0.47058823529411764
3, Over80, 191, 579, 18, 7, 2178, 0.9880546075085325, 0.9698492462311558, 0.9918032786885246, 0.979857886197057, 0.9910136592379583, 0.008986340762041696, 0.9788672865595943
4, All, 218, 591, 16, 9, 2384, 0.985, 0.9736408566721582, 0.9933333333333333, 0.9783333333333333, 0.9916666666666667, 0.008333333333333333, 0.9792874896437449
4, Under80, 218, 7, 6, 4, 176, 0.6363636363636364, 0.5384615384615384, 0.967032967032967, 0.6033966033966034, 0.9481865284974094, 0.05181347150259067, 0.5833333333333334
4, Over80, 218, 584, 10, 5, 2208, 0.9915110356536503, 0.9831649831649831, 0.9954914337240758, 0.987002469377726, 0.9946562166013537, 0.005343783398646241, 0.9873203719357566
5, All, 193, 592, 19, 8, 2381, 0.9866666666666667, 0.9689034369885434, 0.9920833333333333, 0.97875, 0.991, 0.009, 0.9777043765483073
5, Under80, 193, 11, 9, 6, 217, 0.6470588235294118, 0.55, 0.9601769911504425, 0.6072358146798544, 0.9382716049382716, 0.06172839506172839, 0.5945945945945946
5, Over80, 193, 581, 10, 2, 2164, 0.9965694682675815, 0.9830795262267343, 0.9954001839926403, 0.9919696522602219, 0.9956474428726877, 0.004352557127312296, 0.989778534923339
6, All, 243, 595, 20, 5, 2380, 0.9916666666666667, 0.967479674796748, 0.9916666666666667, 0.9833333333333334, 0.9916666666666667, 0.008333333333333333, 0.9794238683127573
6, Under80, 243, 13, 10, 3, 209, 0.8125, 0.5652173913043478, 0.954337899543379, 0.7668378995433791, 0.9446808510638298, 0.05531914893617021, 0.6666666666666667
6, Over80, 243, 582, 10, 2, 2171, 0.9965753424657534, 0.9831081081081081, 0.9954149472718936, 0.9919902897376471, 0.9956600361663652, 0.00433996383363472, 0.989795918367347
7, All, 235, 595, 29, 5, 2371, 0.9916666666666667, 0.9535256410256411, 0.9879166666666667, 0.9795833333333333, 0.9886666666666667, 0.011333333333333334, 0.9722222222222223
7, Under80, 235, 13, 13, 2, 163, 0.8666666666666667, 0.5, 0.9261363636363636, 0.7928030303030305, 0.9214659685863874, 0.07853403141361257, 0.6341463414634146
7, Over80, 235, 582, 16, 3, 2208, 0.9948717948717949, 0.9732441471571907, 0.9928057553956835, 0.9876775502674784, 0.9932360270558918, 0.006763972944108224, 0.9839391377852916
8, All, 191, 590, 28, 10, 2372, 0.9833333333333333, 0.9546925566343042, 0.9883333333333333, 0.9716666666666667, 0.9873333333333333, 0.012666666666666666, 0.9688013136288998
8, Under80, 191, 11, 13, 7, 210, 0.6111111111111112, 0.4583333333333333, 0.9417040358744395, 0.5528151469855507, 0.91701244813278, 0.08298755186721991, 0.5238095238095238
8, Over80, 191, 579, 15, 3, 2162, 0.9948453608247423, 0.9747474747474747, 0.9931097841065687, 0.9879551449313109, 0.9934758970641536, 0.006524102935846321, 0.9846938775510204
9, All, 241, 594, 30, 6, 2370, 0.99, 0.9519230769230769, 0.9875, 0.9775, 0.988, 0.012, 0.9705882352941176
9, Under80, 241, 5, 16, 4, 177, 0.5555555555555556, 0.23809523809523808, 0.917098445595855, 0.47265400115141043, 0.900990099009901, 0.09900990099009901, 0.33333333333333326
9, Over80, 241, 589, 14, 2, 2193, 0.9966159052453468, 0.9767827529021559, 0.993656547349343, 0.9902724525946898, 0.9942816297355254, 0.005718370264474625, 0.9865996649916248
10, All, 202, 593, 30, 7, 2370, 0.9883333333333333, 0.9518459069020867, 0.9875, 0.9758333333333333, 0.9876666666666667, 0.012333333333333333, 0.9697465249386753
10, Under80, 202, 8, 24, 4, 209, 0.6666666666666666, 0.25, 0.8969957081545065, 0.5636623748211731, 0.8857142857142857, 0.11428571428571428, 0.36363636363636365
10, Over80, 202, 585, 6, 3, 2161, 0.9948979591836735, 0.9898477157360406, 0.9972311952007383, 0.9921291543844117, 0.9967332123411978, 0.003266787658802178, 0.9923664122137404
